,"Dwayne
Johnson","Chris
Hemsworth","Robert
Downey
Jr","Akshay
Kumar","Jackie
Chan","Bradley
Cooper","Adam
Sandler","Scarlett
Johansson","Sofia
Vergara","Chris
Evans"
"Dwayne
Johnson",0,2,2,0,3,0,3,2,0,2
"Chris
Hemsworth",2,0,1,3,3,3,3,1,3,1
"Robert
Downey
Jr",2,1,0,0,0,0,3,1,3,1
"Akshay
Kumar",0,3,0,0,0,0,0,0,0,0
"Jackie
Chan",3,3,0,0,0,0,0,0,0,0
"Bradley
Cooper",0,3,0,0,0,0,3,1,3,1
"Adam
Sandler",3,3,3,0,0,3,0,2,3,3
"Scarlett
Johansson",2,1,1,0,0,1,2,0,0,1
"Sofia
Vergara",0,3,3,0,0,3,3,0,0,2
"Chris
Evans",2,1,1,0,0,1,3,1,2,0
